 S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
2977.18,16.6558,2852.2691082274337,853.3239048869298,3030.75,16.3707,2907.878040536583,854.2194471358763,3466.25,17.5695,3304.5546088400065,1046.3306837201483,9064.701757604023,2753.874035742954,9473.787001988627,9474.18,14.0,57,900.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
2999.28,17.0035,2868.172156059228,877.0798148438707,3136.92,16.8549,3002.164541835713,909.5466728785076,3538.59,17.6934,3371.202297416433,1075.4600215694527,9241.538995311374,2862.086509291831,9674.58434189971,9674.79,14.0,58,1800.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
2938.77,16.6888,2814.985036974807,843.9362265645109,3090.2,16.5136,2962.7363346499233,878.3674921951153,3452.44,17.4003,3294.4520739970394,1032.4376425414785,9072.17344562177,2754.741361301105,9481.188269152122,9481.41,14.0,59,2700.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
2984.48,16.8254,2856.7182066575933,863.8761243089338,3135.41,16.6842,3003.4145740368053,900.1648541035768,3451.44,17.4963,3291.763848219531,1037.6554539706049,9151.89662891393,2801.6964323831153,9571.139681644732,9571.33,15.0,60,0.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
3021.7,17.0497,2888.8986559098616,885.9658265882457,3155.13,17.1374,3015.044990130117,929.7037293628995,3480.56,17.5825,3317.9585982810668,1051.4031832236087,9221.902244321045,2867.072739174754,9657.307445428698,9657.39,15.0,61,900.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
2980.78,16.7335,2854.5568310455014,858.2276543735144,3122.95,16.7848,2989.900278855926,901.8386912287882,3573.82,17.6964,3404.7089187558536,1086.345511770701,9249.16602865728,2846.411857373004,9677.24819809131,9677.55,15.0,62,1800.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
2954.71,16.4701,2833.471803560761,837.7044362578768,3107.09,16.6188,2977.303067099137,888.6364356372486,3538.13,17.5474,3373.493220735161,1066.7274190503924,9184.268091395059,2793.068290945518,9599.583889549733,9599.93,15.0,63,2700.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
3018.11,16.6089,2892.1889750436385,862.6881851144292,3086.88,16.4999,2959.7629933327285,876.7161215000488,3585.32,17.5452,3418.5288719688438,1080.8236923362792,9270.48084034521,2820.227998950757,9689.969090625285,9690.31,16.0,64,0.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
3139.29,17.0067,3002.010607360913,918.1906214902003,3193.9,16.9976,3054.3808725645044,933.6780469262934,3718.58,17.9973,3536.633886707863,1148.9377562730003,9593.025366633281,3000.8064246894937,10051.416561028966,10051.77,16.0,65,900.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
3136.48,16.4165,3008.6139476107637,886.4247879216698,3307.97,16.7728,3167.237714358505,954.605039608063,3726.8,17.4239,3555.7976659392875,1115.9485646304297,9731.649327908557,2956.9783921601625,10170.974380711277,10171.25,16.0,66,1800.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
3182.57,16.3598,3053.7135822444125,896.4291173963501,3376.49,16.7561,3233.126505417572,973.4360379944627,3720.56,17.3404,3551.4638194111303,1108.905520327907,9838.303907073114,2978.7706757187198,10279.362748072073,10279.619999999999,16.0,67,2700.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
3115.88,15.8802,2996.9653239528166,852.5884244020607,3213.97,15.6828,3094.3233343682277,868.7728490717778,3554.28,16.4212,3409.298927576978,1004.7821359988787,9500.587585898022,2726.1434094727174,9883.97806383296,9884.130000000001,17.0,68,0.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
3102.17,15.354,2991.448265401984,821.3987973715699,3242.41,14.9521,3132.628043601389,836.5788358201112,3632.66,15.7777,3495.7955182757846,987.7410440003691,9619.871827279158,2645.71867719205,9977.06175645526,9977.24,17.0,69,900.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
3196.71,14.654,3092.724766897668,808.7078213531554,3439.16,14.5913,3328.238266683572,866.4014922558313,3804.92,15.3042,3669.9902045726394,1004.2848723051038,10090.95323815388,2679.3941859140905,10440.61734085291,10440.79,17.0,70,1800.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
