 S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
4983.93,18.3741,4729.842274938848,1571.0347860888724,3480.85,13.4314,3385.644319796491,808.5352573201469,3876.21,14.756,3748.36977138069,987.2831514309734,11863.85636611603,3366.8531948399927,12332.347234465795,12340.990000000002,0.0,1,900.0,uhs14_1247_circuit_45_0,uhs14,circuit_45,0,data,,,,,
5055.59,19.0296,4779.303296877772,1648.4083973801116,3558.46,14.0419,3452.1280592104904,863.3941361925124,3850.06,15.4824,3710.350938048445,1027.744092721054,11941.782294136707,3539.546626293678,12455.30227173407,12464.109999999999,0.0,2,1800.0,uhs14_1247_circuit_45_0,uhs14,circuit_45,0,data,,,,,
4989.11,19.32,4708.150878648572,1650.6162170476443,3463.56,14.439,3354.1588124947984,863.6356489651654,3784.98,15.7548,3642.7877371063964,1027.7018550081818,11705.097428249766,3541.953721020992,12229.2576212407,12237.65,0.0,3,2700.0,uhs14_1247_circuit_45_0,uhs14,circuit_45,0,data,,,,,
5032.28,18.5845,4769.870059116401,1603.8022376667602,3558.2,14.0801,3451.299464802558,865.6322800436553,3921.68,15.345,3781.871620051055,1037.7962573898644,12003.041143970013,3507.23077510028,12504.945598188242,12512.16,1.0,4,0.0,uhs14_1247_circuit_45_0,uhs14,circuit_45,0,data,,,,,
5020.2,18.8297,4751.529350047693,1620.301476773797,3569.27,14.1003,3461.730535111267,869.5458787081124,3838.87,15.669,3696.209968502332,1036.8002438483468,11909.46985366129,3526.647599330256,12420.656805705927,12428.34,1.0,5,900.0,uhs14_1247_circuit_45_0,uhs14,circuit_45,0,data,,,,,
4692.81,19.2565,4430.254845780585,1547.6781634234069,3284.24,14.4724,3180.02495222779,820.7762672060148,3635.64,16.0005,3494.792726957108,1002.1486941605535,11105.072524965482,3370.6031247899755,11605.3264154692,11612.69,1.0,6,1800.0,uhs14_1247_circuit_45_0,uhs14,circuit_45,0,data,,,,,
4867.06,21.4301,4530.570947258933,1778.2575559949944,3416.6,15.4087,3293.790552541669,907.7991826319541,3725.87,17.9608,3544.299835916527,1148.9325176101852,11368.66133571713,3834.9892562371338,11998.066642658885,12009.529999999999,1.0,7,2700.0,uhs14_1247_circuit_45_0,uhs14,circuit_45,0,data,,,,,
4833.67,22.1706,4476.289433529304,1824.0610121851462,3377.72,15.5291,3254.4149837330506,904.309411680432,3662.84,18.1137,3481.3148456380654,1138.7905036221614,11212.01926290042,3867.1609274877396,11860.198547694634,11874.23,2.0,8,0.0,uhs14_1247_circuit_45_0,uhs14,circuit_45,0,data,,,,,
4827.83,22.7557,4452.043761343283,1867.4176972451426,3308.04,16.078,3178.6478828270647,916.1475201074442,3657.47,18.5901,3466.6360460735655,1165.9851306785322,11097.327690243914,3949.550348031119,11779.203275955766,11793.34,2.0,9,900.0,uhs14_1247_circuit_45_0,uhs14,circuit_45,0,data,,,,,
4918.14,22.8752,4531.34672377201,1911.8048876809264,3431.5,15.9939,3298.670190873843,945.4983986450349,3750.62,18.8712,3549.0168911229184,1213.107369907633,11379.03380576877,4070.4106562335946,12085.1418387708,12100.259999999998,2.0,10,1800.0,uhs14_1247_circuit_45_0,uhs14,circuit_45,0,data,,,,,
