Unnamed: 0,Values,Differentiator
270,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
271,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
272,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
273,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
274,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
275,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
276,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
277,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
278,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
279,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
280,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
281,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
282,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
283,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
284,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
285,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
286,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
287,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
288,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
289,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
290,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
291,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
292,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
293,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
294,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
295,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
296,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
297,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
298,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
299,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
300,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
301,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
302,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
303,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
304,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
305,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
306,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
307,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
308,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
309,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
310,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
