folder,building_id,baseline_demand,uncontrolled_demand,demand_management_demand,uncontrolled_scenario_name,demand_management_scenario_name,uncontrolled_diff,demand_management_diff,uncontrolled_scenario_id,demand_management_scenario_id
parquet_commercial_202512_comm_MT,184364,1456265.485185956,1456265.485185956,1456265.485185956,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184365,394262.8152072727,379190.3001546535,379190.3001546535,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-15072.515052619216,-15072.515052619216,1,2
parquet_commercial_202512_comm_MT,184367,378436.0063316393,517520.368455275,378436.0063316393,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",139084.3621236357,0.0,1,9
parquet_commercial_202512_comm_MT,184370,1316309.4920846885,1316309.4920846885,1316309.4920846885,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184372,481512.55851403956,481512.55851403956,481512.55851403956,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184374,1676460.00349999,1676460.00349999,1676460.00349999,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184377,2293171.173906909,2675624.0124763655,2293171.173906909,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",382452.8385694567,0.0,8,2
parquet_commercial_202512_comm_MT,184382,506242.66845223773,683036.7621571498,506242.66845223773,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",176794.0937049121,0.0,1,9
parquet_commercial_202512_comm_MT,184386,692561.7244679157,780342.9931448152,692561.7244679157,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",87781.26867689949,0.0,1,9
parquet_commercial_202512_comm_MT,184387,106934.9904736871,106934.9904736871,106934.9904736871,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184391,132137.90994300353,149314.2804673939,132137.90994300353,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",17176.370524390368,0.0,1,9
parquet_commercial_202512_comm_MT,184394,1075919.652915027,1196467.117232209,1075919.652915027,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",120547.46431718208,0.0,1,9
parquet_commercial_202512_comm_MT,184395,659907.4473837276,659907.4473837276,659907.4473837276,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184397,226633.63975925077,226633.63975925077,226633.63975925077,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184401,217911.51729916036,345780.87956937676,217911.51729916036,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",127869.3622702164,0.0,1,9
parquet_commercial_202512_comm_MT,184413,420964.5999689598,567002.9841350771,420964.5999689598,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",146038.3841661173,0.0,8,2
parquet_commercial_202512_comm_MT,184417,1987660.7854535244,1987660.7854535244,1987660.7854535244,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184424,2925748.236905451,2578301.2559886384,2578301.2559886384,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-347446.98091681255,-347446.98091681255,1,2
parquet_commercial_202512_comm_MT,184432,393384.9764452676,549628.4512622552,393384.9764452676,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",156243.47481698758,0.0,1,9
parquet_commercial_202512_comm_MT,184433,129866.01455106415,129866.01455106415,129866.01455106415,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
