geography,urbanicity,feeder_id,load_count,smart_ds_relpath,feeder_path
GSO,urban-suburban,uhs5_1247,1585,GSO/urban-suburban/base_timeseries/opendss/uhs5_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs5_1247/uhs5_1247--udt159
GSO,urban-suburban,uhs5_1247,1791,GSO/urban-suburban/base_timeseries/opendss/uhs5_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs5_1247/uhs5_1247--udt18558
GSO,urban-suburban,uhs5_1247,2146,GSO/urban-suburban/base_timeseries/opendss/uhs5_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs5_1247/uhs5_1247--udt19869
GSO,urban-suburban,uhs5_1247,852,GSO/urban-suburban/base_timeseries/opendss/uhs5_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs5_1247/uhs5_1247--udt20368
GSO,urban-suburban,uhs6_1247,2092,GSO/urban-suburban/base_timeseries/opendss/uhs6_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs6_1247/uhs6_1247--udt10788
GSO,urban-suburban,uhs6_1247,3828,GSO/urban-suburban/base_timeseries/opendss/uhs6_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs6_1247/uhs6_1247--udt6570
GSO,urban-suburban,uhs6_1247,3755,GSO/urban-suburban/base_timeseries/opendss/uhs6_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs6_1247/uhs6_1247--udt9964
GSO,urban-suburban,uhs7_1247,1034,GSO/urban-suburban/base_timeseries/opendss/uhs7_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs7_1247/uhs7_1247--udt15849
GSO,urban-suburban,uhs7_1247,3356,GSO/urban-suburban/base_timeseries/opendss/uhs7_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs7_1247/uhs7_1247--udt9662
GSO,urban-suburban,uhs7_1247,3892,GSO/urban-suburban/base_timeseries/opendss/uhs7_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs7_1247/uhs7_1247--udt9675
GSO,urban-suburban,uhs8_1247,2794,GSO/urban-suburban/base_timeseries/opendss/uhs8_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs8_1247/uhs8_1247--udt12494
GSO,urban-suburban,uhs8_1247,1759,GSO/urban-suburban/base_timeseries/opendss/uhs8_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs8_1247/uhs8_1247--udt7252
GSO,urban-suburban,uhs9_1247,1043,GSO/urban-suburban/base_timeseries/opendss/uhs9_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs9_1247/uhs9_1247--udt11456
GSO,urban-suburban,uhs9_1247,105,GSO/urban-suburban/base_timeseries/opendss/uhs9_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs9_1247/uhs9_1247--udt13714
GSO,urban-suburban,uhs9_1247,2027,GSO/urban-suburban/base_timeseries/opendss/uhs9_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs9_1247/uhs9_1247--udt14110
GSO,urban-suburban,uhs9_1247,679,GSO/urban-suburban/base_timeseries/opendss/uhs9_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs9_1247/uhs9_1247--udt16813
GSO,urban-suburban,uhs9_1247,2673,GSO/urban-suburban/base_timeseries/opendss/uhs9_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs9_1247/uhs9_1247--udt2508
GSO,urban-suburban,uhs0_1247,3179,GSO/urban-suburban/solar_high_batteries_high_timeseries/opendss/uhs0_1247,D:/lvg/GSO/urban-suburban/solar_high_batteries_high_timeseries/opendss/uhs0_1247/uhs0_1247--udt12274
