bldg_id,Occurrence_Count,Unique_Source_Files
372325,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
384351,7,"['res_1174.parquet', 'res_98.parquet', 'res_88.parquet', 'res_584.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet']"
396152,9,"['res_98.parquet', 'res_584.parquet', 'res_88.parquet', 'res_324.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_966.parquet', 'res_75.parquet', 'res_101.parquet']"
402179,4,"['res_88.parquet', 'res_75.parquet', 'res_101.parquet', 'res_618.parquet']"
420540,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
424648,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
436251,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
457492,5,"['res_88.parquet', 'res_618.parquet', 'res_101.parquet', 'res_958.parquet', 'res_807.parquet']"
458619,6,"['res_584.parquet', 'res_88.parquet', 'res_618.parquet', 'res_966.parquet', 'res_904.parquet', 'res_101.parquet']"
462591,6,"['res_88.parquet', 'res_324.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_75.parquet', 'res_101.parquet']"
463268,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
463375,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
470052,9,"['res_98.parquet', 'res_584.parquet', 'res_88.parquet', 'res_324.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_966.parquet', 'res_75.parquet', 'res_101.parquet']"
471062,7,"['res_98.parquet', 'res_584.parquet', 'res_88.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_75.parquet', 'res_101.parquet']"
472419,7,"['res_1174.parquet', 'res_98.parquet', 'res_88.parquet', 'res_584.parquet', 'res_618.parquet', 'res_966.parquet', 'res_101.parquet']"
477221,7,"['res_98.parquet', 'res_584.parquet', 'res_88.parquet', 'res_618.parquet', 'res_101.parquet', 'res_966.parquet', 'res_958.parquet']"
481721,5,"['res_88.parquet', 'res_618.parquet', 'res_101.parquet', 'res_958.parquet', 'res_807.parquet']"
483700,6,"['res_584.parquet', 'res_88.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_966.parquet', 'res_101.parquet']"
486785,5,"['res_88.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_75.parquet', 'res_101.parquet']"
491120,5,"['res_88.parquet', 'res_618.parquet', 'res_101.parquet', 'res_958.parquet', 'res_807.parquet']"
510949,6,"['res_98.parquet', 'res_584.parquet', 'res_88.parquet', 'res_618.parquet', 'res_966.parquet', 'res_101.parquet']"
513963,8,"['res_1174.parquet', 'res_98.parquet', 'res_88.parquet', 'res_584.parquet', 'res_618.parquet', 'res_966.parquet', 'res_904.parquet', 'res_101.parquet']"
519144,8,"['res_1174.parquet', 'res_98.parquet', 'res_584.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
529799,5,"['res_88.parquet', 'res_324.parquet', 'res_618.parquet', 'res_75.parquet', 'res_101.parquet']"
536888,6,"['res_584.parquet', 'res_88.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_966.parquet', 'res_101.parquet']"
543215,7,"['res_1174.parquet', 'res_88.parquet', 'res_475.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
545791,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
107985,5,"['res_30.parquet', 'res_1020.parquet', 'res_298.parquet', 'res_1013.parquet', 'res_707.parquet']"
