bldg_id,Occurrence_Count,Unique_Source_Files
228292,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
236712,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
247692,5,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_88.parquet', 'res_958.parquet']"
247994,8,"['res_101.parquet', 'res_618.parquet', 'res_98.parquet', 'res_966.parquet', 'res_584.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
248045,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
256012,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
261528,5,"['res_324.parquet', 'res_101.parquet', 'res_618.parquet', 'res_88.parquet', 'res_75.parquet']"
265142,7,"['res_101.parquet', 'res_618.parquet', 'res_904.parquet', 'res_966.parquet', 'res_584.parquet', 'res_1174.parquet', 'res_88.parquet']"
271802,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
295037,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
298388,6,"['res_324.parquet', 'res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_88.parquet', 'res_75.parquet']"
306536,6,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet']"
307631,5,"['res_101.parquet', 'res_618.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet']"
320264,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
322874,5,"['res_324.parquet', 'res_101.parquet', 'res_618.parquet', 'res_88.parquet', 'res_75.parquet']"
327451,10,"['res_324.parquet', 'res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_98.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet', 'res_75.parquet', 'res_929.parquet']"
347458,7,"['res_101.parquet', 'res_618.parquet', 'res_904.parquet', 'res_966.parquet', 'res_584.parquet', 'res_1174.parquet', 'res_88.parquet']"
358172,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
363546,7,"['res_101.parquet', 'res_618.parquet', 'res_904.parquet', 'res_966.parquet', 'res_584.parquet', 'res_1174.parquet', 'res_88.parquet']"
365744,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
365844,7,"['res_101.parquet', 'res_618.parquet', 'res_904.parquet', 'res_966.parquet', 'res_584.parquet', 'res_1174.parquet', 'res_88.parquet']"
367507,8,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_98.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet', 'res_75.parquet']"
372296,7,"['res_101.parquet', 'res_475.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
391060,5,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_88.parquet', 'res_958.parquet']"
401617,5,"['res_324.parquet', 'res_101.parquet', 'res_618.parquet', 'res_88.parquet', 'res_75.parquet']"
403840,5,"['res_101.parquet', 'res_618.parquet', 'res_88.parquet', 'res_75.parquet', 'res_958.parquet']"
411359,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
413028,6,"['res_101.parquet', 'res_618.parquet', 'res_98.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet']"
413766,6,"['res_101.parquet', 'res_618.parquet', 'res_904.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet']"
415290,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
424454,6,"['res_101.parquet', 'res_618.parquet', 'res_98.parquet', 'res_584.parquet', 'res_88.parquet', 'res_958.parquet']"
425636,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
425860,7,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_98.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet']"
429247,6,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet']"
432381,7,"['res_101.parquet', 'res_618.parquet', 'res_904.parquet', 'res_966.parquet', 'res_584.parquet', 'res_1174.parquet', 'res_88.parquet']"
433587,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
438591,7,"['res_101.parquet', 'res_618.parquet', 'res_98.parquet', 'res_966.parquet', 'res_584.parquet', 'res_1174.parquet', 'res_88.parquet']"
441684,7,"['res_101.parquet', 'res_618.parquet', 'res_98.parquet', 'res_966.parquet', 'res_584.parquet', 'res_1174.parquet', 'res_88.parquet']"
448384,5,"['res_101.parquet', 'res_475.parquet', 'res_618.parquet', 'res_88.parquet', 'res_958.parquet']"
451739,8,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_98.parquet', 'res_807.parquet', 'res_584.parquet', 'res_88.parquet', 'res_958.parquet']"
455005,5,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_88.parquet', 'res_75.parquet']"
456302,7,"['res_101.parquet', 'res_618.parquet', 'res_966.parquet', 'res_584.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
459997,6,"['res_101.parquet', 'res_618.parquet', 'res_904.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet']"
471379,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
473221,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
