Source_File,State,Matched_Buildings,Tolerance
res_1079.parquet,MI,"[28, 16731, 22709, 30525, 30822, 31578, 36068, 41114, 42487, 52045, 53056, 56388, 57364, 57960, 62487, 68075, 69593, 76116, 83708, 88872, 90485, 91068, 94117, 94948, 97427, 97447, 97476, 99723, 102785, 108607, 113045, 114083, 115738, 126899, 129445, 133625, 137743, 141684, 145888, 147835, 150826, 165599, 166577, 172666, 179859, 184853, 192803, 194725, 196436, 196625, 201188, 204149, 205412, 207908, 213861, 223173, 224123, 227076, 231761, 243272, 246974, 258998, 261722, 266996, 271413, 271445, 271931, 279369, 281426, 281566, 285087, 285228, 285956, 286308, 286363, 297392, 305196, 306408, 325705, 326195, 330570, 332038, 339266, 340669, 340913, 341440, 344977, 346149, 348232, 352558, 352992, 353259, 359597, 364684, 364854, 366103, 366735, 375616, 379264, 388282, 389386, 390822, 392655, 402860, 415429, 416113, 417984, 419088, 421470, 422070, 422515, 424856, 429199, 430592, 432489, 432773, 437157, 439096, 439391, 442917, 445082, 450317, 450642, 452029, 452522, 452862, 457741, 462151, 465222, 467961, 468807, 471750, 480038, 480503, 482534, 483378, 485759, 486701, 489220, 507778, 511940, 516869, 517432, 518459, 521561, 531292, 533319, 534379, 539499, 540993, 544225, 548196, 548574]",20
res_1080.parquet,MI,"[4743, 8321, 78412, 85988, 139093, 139709, 144227, 150206, 176833, 179402, 188732, 194190, 209116, 230544, 247718, 255752, 258502, 302121, 340433, 366374, 380578, 381794, 389310, 413721, 426106, 435567, 445302, 473989, 483794, 483886, 491611, 498108, 508784, 517949, 530502, 549421]",10
res_1081.parquet,MI,"[27043, 38595, 58527, 140480, 145409, 147088, 163080, 181096, 181840, 199124, 293740, 300087, 376265, 394670, 409910, 509755, 517368, 549841]",15
res_1083.parquet,MI,"[12388, 17765, 121098, 167153, 201745, 236823, 498993]",5
res_1084.parquet,MI,"[1746, 20007, 31214, 51800, 64378, 67390, 71538, 72055, 78412, 81408, 122831, 133381, 143185, 145496, 153201, 156628, 179402, 188732, 189516, 194190, 195183, 209826, 218749, 253736, 255746, 258502, 265444, 271589, 292923, 293268, 305049, 305188, 311860, 312927, 327079, 330707, 332520, 346477, 353914, 359230, 377504, 397813, 402602, 407781, 409169, 413721, 426106, 435310, 446275, 462196, 464850, 471954, 473989, 483794, 491611, 493820, 498108, 508784, 520560, 521688, 523409]",15
res_1088.parquet,MI,[277511],35
res_1089.parquet,MI,"[17270, 52934, 147776, 231959, 264349, 267186, 337050, 420875, 434221, 443272, 449575, 500824, 528321]",20
res_1091.parquet,MI,"[522, 1710, 2305, 2934, 4494, 4772, 5460, 7927, 9921, 10202, 11576, 14412, 16386, 18193, 18504, 19299, 20949, 21593, 22364, 23907, 24725, 29950, 30415, 32654, 34166, 35437, 37299, 38319, 40681, 41197, 41571, 42378, 42629, 43666, 44579, 46248, 48724, 50563, 52244, 53762, 54415, 56122, 58182, 58228, 61271, 62437, 64029, 64141, 65716, 67623, 69564, 69825, 70951, 71847, 72571, 74431, 77743, 80160, 81062, 82041, 82218, 82988, 85713, 87608, 88332, 89314, 89404, 91014, 93384, 93494, 93522, 93760, 95747, 97245, 97632, 99724, 101651, 101889, 102878, 105166, 105250, 108923, 109556, 112961, 113637, 115847, 116219, 117839, 118463, 119488, 120773, 122731, 123460, 124253, 125354, 125797, 127167, 127646, 129857, 137803, 141838, 143428, 148584, 148795, 150338, 151630, 155874, 156208, 157442, 158438, 159169, 162258, 163480, 163905, 165503, 169046, 170826, 171465, 177184, 177342, 178427, 180222, 185211, 185574, 186267, 186976, 187548, 188086, 188781, 189172, 190747, 194642, 195186, 196051, 196643, 198396, 199649, 201891, 204922, 205717, 207738, 207844, 209876, 210721, 211618, 213723, 221439, 224800, 225705, 225974, 230157, 231798, 231813, 232243, 232459, 232505, 233474, 236785, 237783, 238096, 238349, 242257, 243183, 243278, 247692, 248211, 248403, 248797, 250098, 256251, 257407, 260634, 265228, 267941, 268932, 269862, 270182, 271354, 271458, 273203, 273531, 273883, 275222, 276474, 278280, 278750, 279231, 281627, 282201, 283939, 285067, 285521, 285576, 291570, 293949, 297594, 298388, 303896, 304294, 304341, 305466, 306536, 310789, 311393, 312450, 312544, 312615, 313312, 316032, 319274, 320679, 321195, 321980, 322281, 323121, 325237, 327451, 328407, 329186, 329743, 330024, 331201, 335536, 336114, 338199, 338667, 345430, 345526, 345608, 346396, 348042, 350694, 354907, 357327, 361695, 366008, 367507, 368387, 368958, 369220, 369346, 377452, 380082, 382671, 387449, 387641, 391060, 391256, 391947, 392237, 393350, 393728, 398925, 402744, 405426, 409040, 409590, 410831, 411089, 411539, 412619, 413029, 417597, 420347, 420392, 422397, 425758, 425860, 426204, 427909, 429247, 429913, 431715, 436936, 437225, 438903, 442446, 443294, 443418, 445909, 446782, 447182, 447806, 449288, 451547, 451739, 452619, 452785, 455005, 455253, 456895, 457992, 457999, 458168, 461234, 463421, 466307, 467666, 467893, 473133, 477490, 478353, 481469, 488785, 488964, 489365, 492596, 495921, 499126, 500175, 501213, 510178, 513345, 515683, 516028, 517800, 518497, 524461, 524572, 528374, 529060, 529899, 533164, 533184, 536798, 536970, 537318, 539186, 540528, 542472, 543507, 546250, 547410, 548034, 549360]",10
res_1094.parquet,MI,"[4418, 15058, 18582, 21352, 26293, 29181, 41078, 48705, 56471, 64089, 67760, 74525, 87142, 87539, 95310, 98181, 99394, 102541, 109937, 111641, 119153, 125232, 126171, 130240, 136657, 138575, 145693, 145922, 154992, 155821, 157278, 158302, 160790, 161941, 166504, 186531, 199710, 201953, 203056, 203079, 203150, 204013, 205659, 206295, 209752, 219834, 224802, 225969, 226465, 229011, 232935, 238265, 238838, 240452, 242965, 243027, 245220, 250145, 253634, 255338, 260605, 267709, 284177, 285086, 290920, 300936, 308453, 308580, 314033, 316302, 325784, 329848, 332975, 333439, 336095, 337376, 339190, 339212, 344792, 346745, 347999, 351211, 359036, 378223, 386198, 394937, 402476, 402924, 403411, 406999, 422114, 423176, 424963, 442718, 447441, 449723, 453011, 453457, 454456, 457532, 457872, 458579, 469482, 471771, 478193, 478878, 484757, 485317, 489189, 491857, 496114, 496506, 497599, 498321, 499583, 512515, 522999, 525205, 529049, 531964, 533696, 534479, 537479, 544233, 545254, 545847, 546715, 547271, 549305, 549854, 549867]",35
res_1099.parquet,MI,"[72211, 493083]",15
