substation,feeder_name,circuit_folder,mix,season,share_baseline,share_dm,share_un,n_daily_baseline,n_daily_dm,n_daily_un,N_daily_total,n_base_baseline,n_base_dm,n_base_un,N_base_total
uhs3_1247,uhs3_1247--udt1582,uhs3_1247_circuit_11_1,1,winter,0.2,0.6,0.2,31,88,30,149,45,215,36,296
uhs4_1247,uhs4_1247--udt11389,uhs4_1247_circuit_14_0,0,winter,0.2,0.0,0.8,46,0,191,237,153,0,365,518
uhs4_1247,uhs4_1247--udt11389,uhs4_1247_circuit_14_1,1,winter,0.2,0.6,0.2,54,138,45,237,108,307,103,518
uhs4_1247,uhs4_1247--udt12982,uhs4_1247_circuit_15_0,0,winter,0.2,0.0,0.8,29,0,103,132,51,0,213,264
uhs4_1247,uhs4_1247--udt12982,uhs4_1247_circuit_15_1,1,winter,0.2,0.6,0.2,25,76,31,132,39,164,61,264
uhs5_1247,uhs5_1247--udt159,uhs5_1247_circuit_16_0,0,winter,0.2,0.0,0.8,27,0,104,131,217,0,579,796
uhs5_1247,uhs5_1247--udt159,uhs5_1247_circuit_16_1,1,winter,0.2,0.6,0.2,38,68,25,131,240,397,159,796
uhs5_1247,uhs5_1247--udt18558,uhs5_1247_circuit_17_0,0,winter,0.2,0.0,0.8,48,0,155,203,186,0,735,921
uhs5_1247,uhs5_1247--udt18558,uhs5_1247_circuit_17_1,1,winter,0.2,0.6,0.2,35,124,44,203,180,654,87,921
uhs5_1247,uhs5_1247--udt19869,uhs5_1247_circuit_18_0,0,winter,0.2,0.0,0.8,61,0,218,279,289,0,864,1153
uhs5_1247,uhs5_1247--udt19869,uhs5_1247_circuit_18_1,1,winter,0.2,0.6,0.2,52,176,51,279,281,728,144,1153
uhs5_1247,uhs5_1247--udt20368,uhs5_1247_circuit_19_0,0,winter,0.2,0.0,0.8,34,0,158,192,108,0,373,481
uhs5_1247,uhs5_1247--udt20368,uhs5_1247_circuit_19_1,1,winter,0.2,0.6,0.2,41,117,34,192,122,277,82,481
uhs6_1247,uhs6_1247--udt10788,uhs6_1247_circuit_20_0,0,winter,0.2,0.0,0.8,40,0,128,168,299,0,757,1056
uhs6_1247,uhs6_1247--udt10788,uhs6_1247_circuit_20_1,1,winter,0.2,0.6,0.2,23,109,36,168,119,840,97,1056
uhs6_1247,uhs6_1247--udt6570,uhs6_1247_circuit_21_0,0,winter,0.2,0.0,0.8,41,0,155,196,398,0,1519,1917
uhs6_1247,uhs6_1247--udt6570,uhs6_1247_circuit_21_1,1,winter,0.2,0.6,0.2,38,110,48,196,542,1034,341,1917
uhs6_1247,uhs6_1247--udt9964,uhs6_1247_circuit_22_0,0,winter,0.2,0.0,0.8,35,0,130,165,553,0,1327,1880
uhs6_1247,uhs6_1247--udt9964,uhs6_1247_circuit_22_1,1,winter,0.2,0.6,0.2,34,98,33,165,288,1252,340,1880
uhs7_1247,uhs7_1247--udt15849,uhs7_1247_circuit_23_0,0,winter,0.2,0.0,0.8,26,0,117,143,60,0,495,555
uhs7_1247,uhs7_1247--udt15849,uhs7_1247_circuit_23_1,1,winter,0.2,0.6,0.2,29,90,24,143,188,298,69,555
uhs7_1247,uhs7_1247--udt9662,uhs7_1247_circuit_24_0,0,winter,0.2,0.0,0.8,65,0,219,284,181,0,1538,1719
uhs7_1247,uhs7_1247--udt9662,uhs7_1247_circuit_24_1,1,winter,0.2,0.6,0.2,58,164,62,284,412,1070,237,1719
uhs7_1247,uhs7_1247--udt9675,uhs7_1247_circuit_25_0,0,winter,0.2,0.0,0.8,49,0,209,258,381,0,1602,1983
uhs7_1247,uhs7_1247--udt9675,uhs7_1247_circuit_25_1,1,winter,0.2,0.6,0.2,50,154,54,258,590,1056,337,1983
uhs8_1247,uhs8_1247--udt12494,uhs8_1247_circuit_26_0,0,winter,0.2,0.0,0.8,47,0,181,228,250,0,1179,1429
uhs8_1247,uhs8_1247--udt12494,uhs8_1247_circuit_26_1,1,winter,0.2,0.6,0.2,43,139,46,228,188,777,464,1429
uhs8_1247,uhs8_1247--udt7252,uhs8_1247_circuit_27_0,0,winter,0.2,0.0,0.8,43,0,200,243,213,0,722,935
uhs8_1247,uhs8_1247--udt7252,uhs8_1247_circuit_27_1,1,winter,0.2,0.6,0.2,51,142,50,243,179,460,296,935
uhs9_1247,uhs9_1247--udt11456,uhs9_1247_circuit_28_0,0,winter,0.2,0.0,0.8,26,0,96,122,174,0,356,530
uhs9_1247,uhs9_1247--udt11456,uhs9_1247_circuit_28_1,1,winter,0.2,0.6,0.2,20,77,25,122,103,323,104,530
uhs9_1247,uhs9_1247--udt13714,uhs9_1247_circuit_29_0,0,winter,0.2,0.0,0.8,6,0,27,33,6,0,55,61
uhs9_1247,uhs9_1247--udt13714,uhs9_1247_circuit_29_1,1,winter,0.2,0.6,0.2,5,20,8,33,6,47,8,61
uhs9_1247,uhs9_1247--udt14110,uhs9_1247_circuit_30_0,0,winter,0.2,0.0,0.8,56,0,231,287,191,0,901,1092
uhs9_1247,uhs9_1247--udt14110,uhs9_1247_circuit_30_1,1,winter,0.2,0.6,0.2,62,174,51,287,255,619,218,1092
uhs9_1247,uhs9_1247--udt16813,uhs9_1247_circuit_31_0,0,winter,0.2,0.0,0.8,21,0,88,109,96,0,253,349
uhs9_1247,uhs9_1247--udt16813,uhs9_1247_circuit_31_1,1,winter,0.2,0.6,0.2,22,64,23,109,48,253,48,349
uhs9_1247,uhs9_1247--udt2508,uhs9_1247_circuit_32_0,0,winter,0.2,0.0,0.8,48,0,232,280,340,0,1088,1428
uhs9_1247,uhs9_1247--udt2508,uhs9_1247_circuit_32_1,1,winter,0.2,0.6,0.2,54,167,59,280,339,801,288,1428
