 S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
7958.83,15.329,7675.684568833055,2104.0060286696244,7334.03,14.5206,7099.7631627313585,1838.847213343952,7046.74,14.5184,6821.7177430785005,1766.5536112351554,21597.165474642916,5709.406853248732,22339.088682285845,22339.6,20.0,81,900.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
8033.67,15.1893,7753.017285685591,2104.8934977239223,7314.61,14.3427,7086.623736524963,1811.9832971142353,7147.93,14.4456,6921.9476894048385,1783.1274407745013,21761.58871161539,5700.004235612659,22495.70606892588,22496.21,20.0,82,1800.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7915.73,15.1577,7640.3401621555795,2069.778645037299,7169.44,14.349,6945.783158608656,1776.7853632862807,7066.17,14.5376,6839.933294325598,1773.71671866625,21426.056615089834,5620.280726989829,22150.924529761916,22151.339999999997,20.0,83,2700.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
8041.55,15.1829,7760.857302431103,2106.0912453646993,7311.89,14.5664,7076.862642106698,1838.9536472827695,7134.71,14.62,6903.696100500518,1800.8517251661633,21741.41604503832,5745.8966178136325,22487.87450129629,22488.15,21.0,84,0.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7954.65,15.0504,7681.787873437691,2065.5729689375885,7321.75,14.2485,7096.513594106989,1802.087087561172,7113.2,14.1473,6897.460703496502,1738.5770284118964,21675.76217104118,5606.237084910656,22389.027668654293,22389.6,21.0,85,900.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
8242.85,15.4556,7944.765908052378,2196.6499012698137,7485.08,14.7839,7237.287401029558,1909.9983458890274,7262.21,14.7832,7021.818123067527,1853.0419128180642,22203.871432149463,5959.690159976904,22989.77627943231,22990.14,21.0,86,1800.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
8282.85,15.8186,7969.174761062837,2257.843606217906,7565.96,15.3587,7295.753633612747,2003.9285514275202,7288.46,15.0954,7036.9610641138115,1898.1117337359817,22301.889458789396,6159.883891381408,23136.949733864265,23137.27,21.0,87,2700.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7984.56,15.7193,7685.941771213002,2163.214617906222,7312.73,15.0081,7063.287126639679,1893.672363305276,7057.24,14.9978,6816.840507708025,1826.2863713204945,21566.069405560705,5883.173352531992,22354.128887107276,22354.53,22.0,88,0.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
8016.57,15.7622,7715.126259394263,2177.6641996655712,7252.82,14.9439,7007.520783882329,1870.3075725284273,7071.22,15.0447,6828.84411627654,1835.4945720419028,21551.491159553134,5883.4663442359015,22340.14206364976,22340.61,22.0,89,900.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7881.01,15.762,7584.671138471249,2140.8134765413965,7162.72,14.9745,6919.480621052624,1850.768957292398,7033.71,14.9076,6796.96913162943,1809.4990985840984,21301.120891153303,5801.081532417893,22076.917768685184,22077.44,22.0,90,1800.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7865.83,15.436,7582.096612809764,2093.5836603581674,7043.9,14.8206,6809.559898066805,1801.7827850882582,7110.59,14.4765,6884.830565732982,1777.5258730181313,21276.48707660955,5672.892318464557,22019.777691385247,22020.32,22.0,91,2700.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
8275.02,15.9448,7956.6535403184635,2273.2400752533094,7468.77,15.1635,7208.732262245827,1953.6387803675916,7413.14,15.1106,7156.8263829974785,1932.4804742173287,22322.21218556177,6159.359329838229,23156.400070203217,23156.93,23.0,92,0.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
8164.02,16.3641,7833.301214066999,2300.1336157050728,7590.6,15.3678,7319.194252037946,2011.617225253031,7434.52,15.2426,7172.983157685565,1954.5844187343844,22325.47862379051,6266.335259692489,23188.22876737661,23189.14,23.0,93,900.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7953.97,16.597,7622.587977488443,2271.9575890294805,7459.65,15.4925,7188.606797853616,1992.5637827564738,7286.06,15.387,7024.8957854698865,1933.2639568583036,21836.090560811946,6197.785328644258,22698.62097044529,22699.68,23.0,94,1800.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
8178.71,16.4593,7843.556630015504,2317.308062351622,7510.4,15.5181,7236.615752946834,2009.3532800883277,7442.93,15.3045,7178.979073112944,1964.552481535276,22259.15145607528,6291.213823975226,23131.130429001416,23132.04,23.0,95,2700.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
8157.36,16.2415,7831.810834311425,2281.504158480138,7462.88,15.4184,7194.291498628894,1984.1239193044437,7436.32,14.9853,7183.427101769049,1922.8183003003478,22209.52943470937,6188.446378084929,23055.586444192963,23056.559999999998,24.0,96,0.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
,,,,,,,,,,,,,,,,,0,,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,summary,7175.0,3612.0,43.0,21.0,1000.0
3285.36,19.1071,3104.364118411441,1075.4132926087348,3433.61,20.1689,3223.062104233721,1183.8700538287546,3224.91,18.7597,3053.5889046834372,1037.1303241609546,9381.0151273286,3296.413670598444,9943.328814178696,9943.880000000001,0.0,1,900.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3141.09,18.9456,2970.9285576137454,1019.8185591835014,3337.78,19.9502,3137.478289497276,1138.8614100641257,3162.61,18.8007,2993.869964425371,1019.2372874908117,9102.276811536392,3177.9172567384385,9641.08921463281,9641.480000000001,0.0,2,1800.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3149.85,19.0713,2976.963238581963,1029.1962391262357,3335.79,20.1311,3131.998503525011,1148.076782282914,3155.98,18.8891,2986.0208955849475,1021.7088487089005,9094.982637691923,3198.98187011805,9641.171826352931,9641.619999999999,0.0,3,2700.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3182.66,19.3499,3002.880264473653,1054.5306030811264,3354.63,20.5628,3140.8990620386317,1178.259529554013,3162.4,19.0419,2989.3542217913014,1031.7631010355642,9133.133548303585,3264.553233670704,9699.043057261799,9699.69,1.0,4,0.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3167.94,19.4258,2987.5986537913095,1053.6119434898003,3390.77,20.6278,3173.3833661403137,1194.5539771831045,3182.4,19.1648,3006.0257692368573,1044.7386441995723,9167.007789168481,3292.904564872477,9740.495484318732,9741.11,1.0,5,900.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3150.39,19.3895,2971.710949088635,1045.8925313657812,3373.94,20.7753,3154.5619501624938,1196.7497759293728,3148.47,19.0921,2975.2853231247723,1029.8255128410437,9101.558222375901,3272.4678201361976,9671.990886530308,9672.8,1.0,6,1800.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3138.82,19.6411,2956.1927203078403,1055.0429341021784,3384.41,20.9137,3161.4421855287933,1208.1036195868821,3165.53,19.0839,2991.5550746208337,1034.9774956057445,9109.189980457468,3298.124049294805,9687.877184636656,9688.76,1.0,7,2700.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3144.36,19.5228,2963.586288058351,1050.7883339819327,3367.67,21.0479,3142.9807418495548,1209.4929868597105,3150.13,19.0827,2977.023016366307,1029.8800789049458,9083.590046274212,3290.1613997465893,9661.095702100998,9662.16,2.0,8,0.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3157.14,19.8656,2969.2659203645635,1072.84335937805,3429.47,21.2893,3195.439704365588,1245.1624699869333,3193.55,19.3508,3013.138496659528,1058.18618515286,9177.84412138968,3376.1920145178437,9779.13571004213,9780.16,2.0,9,900.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3151.45,19.9075,2963.130577800734,1073.0770155968698,3390.49,21.177,3161.526451939664,1224.81546927927,3169.29,19.2166,2992.7004884065923,1043.1408777298218,9117.35751814699,3341.033362605962,9710.23748647568,9711.23,2.0,10,1800.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3157.04,19.9192,2968.166962642592,1075.5865578729824,3379.69,21.2424,3150.0601286564024,1224.5103845820222,3168.1,19.2664,2990.669333598123,1045.3490073060568,9108.896424897117,3345.4459497610615,9703.813821496997,9704.83,2.0,11,2700.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3162.21,19.9114,2973.1743002318294,1076.9432039531946,3388.23,21.2447,3157.970604606253,1227.7313196879923,3171.61,19.3274,2992.866893347229,1049.694122497647,9124.01179818531,3354.3686461388343,9721.079174023018,9722.050000000001,3.0,12,0.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3159.31,19.9071,2970.5284023117506,1075.7326281001224,3378.55,21.2899,3147.981687732677,1226.7075430597656,3174.66,19.3919,2994.5602895921666,1054.0753234933823,9113.070379636594,3356.5154946532703,9711.552296623715,9712.52,3.0,13,900.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3131.45,19.7908,2946.4913694275633,1060.2677550453377,3380.64,21.2203,3151.4177955604746,1223.639116498307,3137.05,19.2319,2961.981039872178,1033.3203868780158,9059.890204860216,3317.2272584216607,9648.08826701631,9649.14,3.0,14,1800.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3182.34,20.0623,2989.236159761343,1091.6753440356072,3425.68,21.3897,3189.723938096388,1249.3777095557894,3174.52,19.4484,2993.3873866404915,1056.981165348563,9172.347484498223,3398.03421893996,9781.543586237694,9782.54,3.0,15,2700.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3178.63,19.8279,2990.1871774176343,1078.1787054598897,3453.15,21.2656,3218.022092509176,1252.429133573179,3170.62,19.2865,2992.681004037205,1047.2304390509591,9200.890273964016,3377.8382780840275,9801.335279767512,9802.400000000001,4.0,16,0.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3216.66,19.9722,3023.2051102941978,1098.695779864038,3483.77,21.4027,3243.524414644481,1271.2996438704672,3212.32,19.2993,3031.8036438958793,1061.6809536106741,9298.533168834558,3431.6763773451794,9911.56505556743,9912.75,4.0,17,900.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3307.7,20.1214,3105.817274371662,1137.8832753031306,3603.12,21.6897,3348.015592734329,1331.6400884652724,3288.4,19.3897,3101.8896960237817,1091.7210603911112,9555.722563129773,3561.2444241595144,10197.759339782178,10199.22,4.0,18,1800.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3309.96,19.5972,3118.2267437268483,1110.1788938304749,3638.7,21.2758,3390.7028397027575,1320.330240065588,3299.65,19.0815,3118.349136845269,1078.6977256100824,9627.278720274875,3509.2068595061455,10246.90335372899,10248.31,4.0,19,2700.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3343.02,19.6945,3147.4630224050243,1126.6140612441466,3661.66,21.2579,3412.5129168806566,1327.5954006106954,3311.23,19.0819,3129.2853109156604,1082.5052220601435,9689.261250201342,3536.7146839149855,10314.559337658256,10315.91,5.0,20,0.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3414.21,21.0653,3186.0430856877365,1227.1753665395045,3739.93,22.474,3455.893886404048,1429.6411615559778,3355.24,19.9504,3153.886510688914,1144.8298280943359,9795.823482780697,3801.646356189818,10507.648296518544,10509.38,5.0,21,900.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3437.43,20.987,3209.3967840923074,1231.1365834699072,3764.52,22.3696,3481.232686623897,1432.7001821670033,3354.84,19.7889,3156.7245384448024,1135.7999885457161,9847.354009161007,3799.6367541826266,10554.980835864879,10556.79,5.0,22,1800.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3432.7,20.6187,3212.8172104055147,1208.8154791042862,3771.98,22.1641,3493.2576399634577,1423.0193889181328,3357.19,19.671,3161.267894668908,1130.0929139834525,9867.34274503788,3761.9277820058714,10560.13984211759,10561.87,5.0,23,2700.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3451.48,20.642,3229.8997155294696,1216.7423794799997,3787.9,22.2065,3506.9427985216294,1431.620975641697,3370.7,19.7517,3172.388197946725,1139.1100085278542,9909.230711997825,3787.473363649551,10608.383844109137,10610.08,6.0,24,0.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3461.49,20.8274,3235.3015326898135,1230.7465265743967,3801.63,22.3758,3515.3935063599174,1447.2039083496586,3392.87,19.8985,3190.3056106539652,1154.7800429215215,9941.000649703696,3832.7304778455764,10654.262847950376,10655.99,6.0,25,900.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3489.42,20.3538,3271.5502218473525,1213.6766794869786,3843.94,21.5917,3574.209974911941,1414.5309395131596,3416.78,19.3893,3222.9962038760195,1134.3196366989196,10068.756400635313,3762.5272556990576,10748.789085530187,10750.140000000001,6.0,26,1800.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3502.55,20.5109,3280.507764023402,1227.2429721461758,3858.78,21.6569,3586.390439988093,1424.0739799469734,3402.79,19.5029,3207.553543582931,1136.036992860964,10074.451747594427,3787.353944954113,10762.83549623276,10764.119999999999,6.0,27,2700.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3502.5,20.6799,3276.82683661391,1236.8961689838302,3874.65,21.9252,3594.4047625818757,1446.778153425303,3408.94,19.542,3212.5732768997527,1140.2828000761851,10083.804876095539,3823.9571224853185,10784.515234991992,10786.09,7.0,28,0.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3518.46,20.7602,3290.013860862305,1247.1445653707942,3877.55,21.871,3598.4630329051515,1444.457615617384,3419.43,19.5869,3221.561691676912,1146.316619272265,10110.038585444368,3837.9188002604433,10813.99560368722,10815.44,7.0,29,900.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
3509.59,20.0527,3296.830361513269,1203.3833701295223,3853.98,21.142,3594.5662658590213,1390.0558264862366,3414.75,18.903,3230.587059524201,1106.2661584513821,10121.983686896492,3699.705355067141,10776.937109963628,10778.32,7.0,30,1800.0,uhs0_1247_circuit_3_0,uhs0,circuit_3,0,data,,,,,
