Month,Monthly_Average,Monthly_Peak,Monthly_Valley,Monthly_75th_Percentile,Monthly_25th_Percentile,Source_File,Type
2,1.3561918,17.382526,0.6299734,1.4833626747131348,0.8203813582658768,res_319.parquet,res
3,1.2097064,14.811372,0.6460037,1.3396834433078766,0.9086750745773315,res_319.parquet,res
4,1.3337622,16.040623,0.6458664,1.5503853559494019,0.7769858092069626,res_319.parquet,res
5,2.3178568,19.000868,0.6460037,2.984277367591858,1.2470583617687225,res_319.parquet,res
6,2.8392222,19.182499,0.60574514,3.8596091866493225,1.5616557002067566,res_319.parquet,res
7,2.8914132,17.740873,0.64112115,3.9371939301490784,1.6828740239143372,res_319.parquet,res
8,2.7760892,18.952072,0.64112115,3.7444167733192444,1.5842869579792023,res_319.parquet,res
9,2.581286,18.568705,0.61548764,3.3323459029197693,1.4827013611793518,res_319.parquet,res
10,1.6740874,17.258913,0.6324031,1.9135740101337433,0.8689977824687958,res_319.parquet,res
11,1.350127,15.475659,0.6317596,1.3609780073165894,0.8696608245372772,res_319.parquet,res
12,1.4290001,15.829058,0.6393465,1.4486009180545807,0.8994432091712952,res_319.parquet,res
1,2.7042768,8.967453,0.7946722,3.5213080048561096,1.4629189670085907,res_324.parquet,res
2,2.7483258,10.118914,0.8290375,3.5618404746055603,1.3713968694210052,res_324.parquet,res
3,2.5194557,9.885561,0.81505126,3.1882744431495667,1.2520083785057068,res_324.parquet,res
4,2.370583,8.313951,0.79230547,3.1414650082588196,1.160779595375061,res_324.parquet,res
5,3.2971478,9.821585,0.81505126,4.428427577018738,1.9199205935001373,res_324.parquet,res
6,3.691938,9.084782,1.1447694,4.6375099420547485,2.4745801091194153,res_324.parquet,res
7,3.7456143,10.017067,1.1352605,4.600916028022766,2.604234278202057,res_324.parquet,res
8,3.6607533,11.318603,0.98126847,4.5193644762039185,2.4366625547409058,res_324.parquet,res
9,3.5978923,10.250869,0.9769446,4.579918026924133,2.2635617852211,res_324.parquet,res
10,2.7269242,10.278321,0.7730095,3.671469986438751,1.441419541835785,res_324.parquet,res
11,2.4148943,8.3233795,0.7999437,3.1794793605804443,1.2050468921661377,res_324.parquet,res
12,2.58199,9.520567,0.7897011,3.3801134824752808,1.3199133276939392,res_324.parquet,res
1,6.4506745,28.185596,0.68128616,8.93520975112915,2.9194416403770447,res_325.parquet,res
2,3.1075091,19.52536,0.4236114,4.481581330299377,1.1972921788692474,res_325.parquet,res
3,3.7323601,16.001997,0.49564126,5.083571553230286,2.13767808675766,res_325.parquet,res
4,1.8006688,11.845644,0.45671326,2.2255218625068665,0.8304400146007538,res_325.parquet,res
5,1.7411243,8.12229,0.46687084,2.0253599882125854,1.0339699387550354,res_325.parquet,res
6,2.2854652,9.645095,0.46246797,2.8311473727226257,1.3720792829990387,res_325.parquet,res
7,2.3119693,8.648746,0.5084114,2.8357739448547363,1.466051995754242,res_325.parquet,res
8,2.1911597,9.142599,0.5115314,2.6212709546089172,1.3641035556793213,res_325.parquet,res
9,1.8741299,8.586598,0.47746336,2.2991321086883545,1.1482633352279663,res_325.parquet,res
10,1.8299652,8.123991,0.40583572,2.2919042110443115,0.9251079708337784,res_325.parquet,res
11,3.4551342,16.860266,0.44682074,4.928829669952393,1.6526562571525574,res_325.parquet,res
12,4.180077,17.590609,0.7235037,5.2491455078125,2.59139084815979,res_325.parquet,res
1,1.5045676,4.7400227,0.83313334,1.8923463821411133,0.9115491956472397,res_327.parquet,res
2,1.5150619,4.316607,0.83186895,1.8725466132164001,0.8985243290662766,res_327.parquet,res
3,1.4490244,3.7461967,0.8779075,1.7173243761062622,0.9471663683652878,res_327.parquet,res
4,1.4014413,4.208622,0.87767243,1.6994476616382599,0.9403287768363953,res_327.parquet,res
5,1.3493426,3.430056,0.8779075,1.56930410861969,0.9361923933029175,res_327.parquet,res
6,1.2886345,3.5327885,0.8365329,1.465293049812317,0.9146261215209961,res_327.parquet,res
7,1.3166875,3.2570958,0.8347357,1.5177351236343384,0.9253833889961243,res_327.parquet,res
8,1.3127012,3.7002285,0.8347357,1.534074306488037,0.9253833889961243,res_327.parquet,res
9,1.336811,3.9493387,0.8365329,1.552431344985962,0.9146261215209961,res_327.parquet,res
10,1.3771955,4.4832845,0.84156376,1.6743667423725128,0.8947568535804749,res_327.parquet,res
11,1.4176996,3.9634151,0.83996916,1.7127745151519775,0.9084890931844711,res_327.parquet,res
12,1.4867,4.2868686,0.8364102,1.8692182898521423,0.9006002098321915,res_327.parquet,res
1,1.3275143,4.0510936,0.39050326,2.00321364402771,0.6997922956943512,res_33.parquet,res
2,1.2432277,3.795543,0.38518137,1.9076751470565796,0.5824183225631714,res_33.parquet,res
3,1.183467,3.6963778,0.39738587,1.8780725598335266,0.5969188362360001,res_33.parquet,res
4,1.195198,4.3503757,0.39076203,1.8243939876556396,0.5102400332689285,res_33.parquet,res
5,1.56648,4.9016895,0.39084414,2.2334311604499817,0.6618897765874863,res_33.parquet,res
6,1.7323022,5.2483044,0.38345972,2.395836889743805,0.8475356101989746,res_33.parquet,res
7,1.7570775,4.9881287,0.38750753,2.387396514415741,0.9066973775625229,res_33.parquet,res
8,1.6991112,5.1501946,0.3772179,2.3346633315086365,0.8279654532670975,res_33.parquet,res
9,1.520293,4.9535627,0.37535158,2.138868987560272,0.7524612247943878,res_33.parquet,res
10,1.2760246,4.4162774,0.3847307,1.8971818387508392,0.5548936724662781,res_33.parquet,res
11,1.1747423,4.332273,0.38171265,1.83961683511734,0.5757738500833511,res_33.parquet,res
12,1.2059817,4.0188794,0.42424798,1.8944673538208008,0.594787135720253,res_33.parquet,res
1,1.342751,4.8081083,0.4509103,1.5587256848812103,0.9006693214178085,res_331.parquet,res
2,1.0966704,4.4303126,0.45120057,1.2670462727546692,0.7254369854927063,res_331.parquet,res
3,1.1280922,4.554713,0.46043876,1.2442580163478851,0.7759715914726257,res_331.parquet,res
4,0.93428403,4.208502,0.4602254,1.091078758239746,0.5880856066942215,res_331.parquet,res
5,0.8716374,4.290597,0.46043876,0.943664014339447,0.5087834596633911,res_331.parquet,res
6,0.8488565,3.9140487,0.45284384,0.9255660176277161,0.5047481656074524,res_331.parquet,res
7,0.8395887,3.899309,0.45252383,0.9039688110351562,0.5042148232460022,res_331.parquet,res
8,0.8761505,4.002019,0.45252383,0.9421045631170273,0.49935442209243774,res_331.parquet,res
9,0.84873325,4.0196157,0.45284384,0.9591069221496582,0.5045148730278015,res_331.parquet,res
10,0.9221638,4.442613,0.44423437,1.0702680349349976,0.531245768070221,res_331.parquet,res
11,1.0748395,4.23769,0.4482952,1.2746478915214539,0.7005202770233154,res_331.parquet,res
12,1.2114537,4.9134803,0.47273237,1.3996041119098663,0.8026785254478455,res_331.parquet,res
1,1.463669,3.3231359,0.9192175,1.8144128322601318,0.98597651720047,res_332.parquet,res
2,1.4576283,3.2698772,0.91909724,1.7984955310821533,0.9596033692359924,res_332.parquet,res
3,1.3721925,2.9499059,0.9586292,1.633888840675354,1.0017775297164917,res_332.parquet,res
4,1.3309637,3.3595762,0.9585145,1.5219179391860962,0.9883934855461121,res_332.parquet,res
5,1.9591336,7.889761,0.9586292,2.053614854812622,1.0017775297164917,res_332.parquet,res
6,2.5106897,8.510608,0.92371845,2.9522544145584106,1.0582467317581177,res_332.parquet,res
7,2.5446653,8.185713,0.93599296,3.238375723361969,1.0646291971206665,res_332.parquet,res
8,2.4865358,8.456888,0.8832467,3.0734832286834717,1.0646291971206665,res_332.parquet,res
9,2.0719602,8.086488,0.9239763,1.9781593084335327,1.0499383211135864,res_332.parquet,res
10,1.5717996,7.032404,0.92960095,1.6771552562713623,1.0221917629241943,res_332.parquet,res
11,1.3580154,3.0004091,0.9283799,1.601562261581421,0.9558275938034058,res_332.parquet,res
12,1.4121512,3.3481731,0.9192175,1.5899722576141357,0.9596432447433472,res_332.parquet,res
1,1.0019062,7.519267,0.5509186,1.0681829452514648,0.7124303132295609,res_334.parquet,res
2,1.0614821,7.5284066,0.5350516,1.1630233526229858,0.6428436636924744,res_334.parquet,res
3,0.9730237,6.951157,0.5497927,0.9745984673500061,0.6546465158462524,res_334.parquet,res
4,1.0544897,7.5867915,0.5391496,1.2035212516784668,0.6266337782144547,res_334.parquet,res
5,1.4535052,8.290992,0.5413619,1.640678584575653,0.8872897028923035,res_334.parquet,res
6,1.5746284,8.2792635,0.71969026,1.8222683370113373,0.9905200749635696,res_334.parquet,res
