Source_File,State,Matched_Buildings,Tolerance
res_171.parquet,MT,"[57049, 59985, 63481, 116468, 133654, 154106, 216380, 260286, 273552, 301875, 340021, 354020, 354532, 421409, 460187, 475702, 496046, 497181]",30
res_173.parquet,MT,"[90553, 261038]",20
res_178.parquet,MT,[277291],10
res_181.parquet,MT,"[7647, 39658, 44088, 48833, 61842, 62256, 66977, 73994, 111252, 137877, 140947, 175578, 203399, 229685, 246638, 283213, 306289, 315317, 334052, 335422, 346754, 353253, 377150, 385302, 426622, 427686, 443477, 454559, 459389, 496513, 497167, 501241, 513565, 525637]",25
res_182.parquet,MT,"[44149, 73931, 151271, 211030, 225795, 256192, 272876, 276587, 298929, 336356, 401600, 426144, 468648, 513358, 527227]",10
res_184.parquet,MT,"[8792, 143096, 549292]",15
res_186.parquet,MT,[424723],25
res_188.parquet,MT,"[24494, 61072, 95990, 112011, 179411, 225460, 274027, 326339, 332563, 341674, 343688, 367287, 475427, 486622]",10
res_192.parquet,MT,[424723],45
res_196.parquet,MT,"[113456, 143210, 200755]",15
res_197.parquet,MT,"[1403, 7647, 37490, 42443, 57347, 62548, 64084, 66977, 143709, 159510, 175578, 183986, 202377, 208538, 215932, 226832, 277210, 282869, 327595, 327686, 344718, 404713, 426622, 427310, 451931, 454559, 489600, 490055, 508034, 545718]",5
res_198.parquet,MT,"[4605, 61842, 101078, 107701, 169980, 199784, 459389, 512644]",10
res_199.parquet,MT,[16610],10
res_2.parquet,MT,"[16610, 99076, 120236, 140071, 376680, 481187]",10
res_20.parquet,MT,[42104],5
res_203.parquet,MT,"[78267, 486410]",10
res_205.parquet,MT,"[150820, 271955, 298637, 379055, 388541, 434447, 459092, 475737, 488284, 490543, 537430]",5
res_206.parquet,MT,"[13693, 140071, 146221, 313289, 321643]",15
res_207.parquet,MT,"[44653, 63328, 87541, 164182, 210194, 224432, 238697, 249373, 255145, 260961, 277309, 278296, 311190, 458539]",10
res_208.parquet,MT,"[13693, 237138, 313289, 445537]",5
res_209.parquet,MT,[438998],5
res_21.parquet,MT,"[243835, 341215, 354298]",10
res_210.parquet,MT,[424723],40
res_211.parquet,MT,[439711],10
res_216.parquet,MT,"[62887, 97519, 106657, 134544, 144694, 234488]",5
res_217.parquet,MT,[93871],15
res_220.parquet,MT,"[63328, 87541, 249373]",10
res_222.parquet,MT,[467265],5
