bldg_id,Occurrence_Count,Unique_Source_Files
151271,5,"['res_644.parquet', 'res_182.parquet', 'res_512.parquet', 'res_1023.parquet', 'res_843.parquet']"
153454,8,"['res_599.parquet', 'res_251.parquet', 'res_513.parquet', 'res_953.parquet', 'res_1084.parquet', 'res_1023.parquet', 'res_1213.parquet', 'res_396.parquet']"
194222,6,"['res_644.parquet', 'res_924.parquet', 'res_491.parquet', 'res_224.parquet', 'res_1023.parquet', 'res_843.parquet']"
211030,7,"['res_644.parquet', 'res_1080.parquet', 'res_182.parquet', 'res_645.parquet', 'res_512.parquet', 'res_1023.parquet', 'res_843.parquet']"
216907,6,"['res_644.parquet', 'res_924.parquet', 'res_491.parquet', 'res_224.parquet', 'res_1023.parquet', 'res_843.parquet']"
217886,4,"['res_644.parquet', 'res_1023.parquet', 'res_491.parquet', 'res_843.parquet']"
225795,7,"['res_645.parquet', 'res_384.parquet', 'res_182.parquet', 'res_251.parquet', 'res_1075.parquet', 'res_1023.parquet', 'res_454.parquet']"
255145,7,"['res_924.parquet', 'res_549.parquet', 'res_251.parquet', 'res_691.parquet', 'res_1023.parquet', 'res_207.parquet', 'res_396.parquet']"
276587,7,"['res_645.parquet', 'res_384.parquet', 'res_182.parquet', 'res_251.parquet', 'res_1075.parquet', 'res_1023.parquet', 'res_454.parquet']"
278296,8,"['res_645.parquet', 'res_1166.parquet', 'res_549.parquet', 'res_251.parquet', 'res_1084.parquet', 'res_1023.parquet', 'res_207.parquet', 'res_396.parquet']"
336356,6,"['res_644.parquet', 'res_645.parquet', 'res_182.parquet', 'res_512.parquet', 'res_251.parquet', 'res_1023.parquet']"
339121,8,"['res_599.parquet', 'res_549.parquet', 'res_513.parquet', 'res_251.parquet', 'res_953.parquet', 'res_1084.parquet', 'res_1023.parquet', 'res_396.parquet']"
369981,2,"['res_644.parquet', 'res_1023.parquet']"
468648,5,"['res_644.parquet', 'res_182.parquet', 'res_906.parquet', 'res_1023.parquet', 'res_894.parquet']"
547866,5,"['res_599.parquet', 'res_251.parquet', 'res_953.parquet', 'res_1023.parquet', 'res_396.parquet']"
457540,4,"['res_653.parquet', 'res_1032.parquet', 'res_815.parquet', 'res_1181.parquet']"
11666,7,"['res_678.parquet', 'res_967.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet', 'res_977.parquet', 'res_1103.parquet']"
13151,7,"['res_678.parquet', 'res_967.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet', 'res_977.parquet', 'res_1103.parquet']"
92999,7,"['res_678.parquet', 'res_967.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet', 'res_977.parquet', 'res_1103.parquet']"
119035,6,"['res_967.parquet', 'res_667.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet', 'res_1103.parquet']"
136424,8,"['res_678.parquet', 'res_967.parquet', 'res_689.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet', 'res_977.parquet', 'res_1103.parquet']"
176595,7,"['res_1120.parquet', 'res_967.parquet', 'res_667.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet', 'res_1103.parquet']"
192296,6,"['res_1120.parquet', 'res_967.parquet', 'res_667.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet']"
229622,8,"['res_678.parquet', 'res_967.parquet', 'res_689.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet', 'res_977.parquet', 'res_1103.parquet']"
296733,6,"['res_667.parquet', 'res_1034.parquet', 'res_553.parquet', 'res_967.parquet', 'res_298.parquet', 'res_1103.parquet']"
302120,7,"['res_967.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet', 'res_977.parquet', 'res_227.parquet', 'res_1103.parquet']"
396510,6,"['res_1120.parquet', 'res_967.parquet', 'res_667.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet']"
405347,7,"['res_1268.parquet', 'res_879.parquet', 'res_667.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet', 'res_564.parquet']"
433796,7,"['res_1120.parquet', 'res_667.parquet', 'res_1034.parquet', 'res_553.parquet', 'res_967.parquet', 'res_298.parquet', 'res_1103.parquet']"
503397,7,"['res_678.parquet', 'res_967.parquet', 'res_667.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet', 'res_1103.parquet']"
522631,7,"['res_678.parquet', 'res_967.parquet', 'res_667.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet', 'res_1103.parquet']"
402646,1,['res_1036.parquet']
283213,7,"['res_1200.parquet', 'res_596.parquet', 'res_78.parquet', 'res_1079.parquet', 'res_114.parquet', 'res_181.parquet', 'res_104.parquet']"
314390,6,"['res_1200.parquet', 'res_596.parquet', 'res_78.parquet', 'res_1079.parquet', 'res_224.parquet', 'res_104.parquet']"
58700,1,['res_1040.parquet']
295508,1,['res_1040.parquet']
445835,2,"['res_686.parquet', 'res_1040.parquet']"
59584,1,['res_1041.parquet']
504363,2,"['res_1041.parquet', 'res_829.parquet']"
9318,4,"['res_292.parquet', 'res_409.parquet', 'res_1042.parquet', 'res_715.parquet']"
26375,5,"['res_292.parquet', 'res_1042.parquet', 'res_853.parquet', 'res_452.parquet', 'res_1105.parquet']"
136309,4,"['res_292.parquet', 'res_409.parquet', 'res_1042.parquet', 'res_715.parquet']"
279107,3,"['res_409.parquet', 'res_1042.parquet', 'res_715.parquet']"
52939,6,"['res_63.parquet', 'res_966.parquet', 'res_160.parquet', 'res_1117.parquet', 'res_1043.parquet', 'res_1091.parquet']"
65095,7,"['res_63.parquet', 'res_966.parquet', 'res_929.parquet', 'res_160.parquet', 'res_1117.parquet', 'res_1043.parquet', 'res_1091.parquet']"
96374,6,"['res_63.parquet', 'res_966.parquet', 'res_160.parquet', 'res_1117.parquet', 'res_1043.parquet', 'res_1091.parquet']"
114857,6,"['res_63.parquet', 'res_966.parquet', 'res_160.parquet', 'res_1117.parquet', 'res_1043.parquet', 'res_1174.parquet']"
157494,6,"['res_63.parquet', 'res_966.parquet', 'res_160.parquet', 'res_1117.parquet', 'res_1043.parquet', 'res_1174.parquet']"
188799,6,"['res_63.parquet', 'res_160.parquet', 'res_1117.parquet', 'res_1043.parquet', 'res_884.parquet', 'res_1091.parquet']"
199784,5,"['res_198.parquet', 'res_966.parquet', 'res_391.parquet', 'res_160.parquet', 'res_1043.parquet']"
245761,5,"['res_63.parquet', 'res_160.parquet', 'res_1117.parquet', 'res_1043.parquet', 'res_884.parquet']"
254592,8,"['res_947.parquet', 'res_63.parquet', 'res_929.parquet', 'res_160.parquet', 'res_1117.parquet', 'res_1043.parquet', 'res_884.parquet', 'res_1091.parquet']"
277862,3,"['res_1043.parquet', 'res_1174.parquet', 'res_160.parquet']"
360585,6,"['res_63.parquet', 'res_966.parquet', 'res_160.parquet', 'res_1117.parquet', 'res_1043.parquet', 'res_1091.parquet']"
435248,4,"['res_1043.parquet', 'res_1174.parquet', 'res_884.parquet', 'res_160.parquet']"
452497,8,"['res_947.parquet', 'res_63.parquet', 'res_929.parquet', 'res_160.parquet', 'res_1117.parquet', 'res_1043.parquet', 'res_884.parquet', 'res_1091.parquet']"
493999,8,"['res_63.parquet', 'res_966.parquet', 'res_929.parquet', 'res_160.parquet', 'res_1117.parquet', 'res_1043.parquet', 'res_884.parquet', 'res_1091.parquet']"
512644,4,"['res_1043.parquet', 'res_198.parquet', 'res_391.parquet', 'res_160.parquet']"
89631,2,"['res_1052.parquet', 'res_769.parquet']"
166040,1,['res_1052.parquet']
403942,1,['res_1052.parquet']
423877,2,"['res_1052.parquet', 'res_769.parquet']"
